Temperature (K),Partition Function (Z)
10.0,5079667.743450695
20.0,21010.37461371002
30.0,4110.697365953159
40.0,1986.6184609800441
50.0,1334.0776667603982
60.0,1041.3873087495147
70.0,880.5553306229657
80.0,780.4686431381485
90.0,712.7815625664737
100.0,664.2182244331609
110.0,627.809499134089
120.0,599.5729833218278
130.0,577.0789212060691
140.0,558.765657255295
150.0,543.5860991073555
160.0,530.8131249313305
170.0,519.9266942353987
180.0,510.54540176375747
190.0,502.38338847446795
200.0,495.222322899643
210.0,488.89266119776124
220.0,483.26079900807343
230.0,478.22006758960634
240.0,473.684299551372
250.0,469.58314959362565
260.0,465.85863737981543
270.0,462.4625565088688
280.0,459.3545071267696
290.0,456.5003841626107
300.0,453.8712028976322
310.0,451.44217736075
320.0,449.19199036410515
330.0,447.1022103242367
340.0,445.15682160725476
350.0,443.34184346830875
360.0,441.6450187137442
370.0,440.0555576670297
380.0,438.56392632548494
390.0,437.1616700727195
400.0,435.8412661855063
410.0,434.5959998026944
420.0,433.4198591220024
430.0,432.3074464409125
440.0,431.2539023210047
450.0,430.25484067561064
460.0,429.30629299186893
470.0,428.4046602250555
480.0,427.5466711642382
490.0,426.72934627819245
500.0,425.94996622004385
510.0,425.2060443067186
520.0,424.4953024015204
530.0,423.81564972009465
540.0,423.1651641556971
550.0,422.5420757821835
560.0,421.94475224497734
570.0,421.37168579343916
580.0,420.8214817441246
590.0,420.2928481946668
600.0,419.7845868334664
610.0,419.29558471184873
620.0,418.8248068635426
630.0,418.3712896717777
640.0,417.9341348974549
650.0,417.5125042930852
660.0,417.1056147368136
670.0,416.7127338291095
680.0,416.3331759018229
690.0,415.966298395439
700.0,415.6114985656795
710.0,415.268210485197
720.0,414.93590231011694
730.0,414.61407378465253
740.0,414.3022539600706
750.0,413.9999991069311
760.0,413.70689080185895
770.0,413.42253417214516
780.0,413.14655628327114
790.0,412.87860465603404
800.0,412.6183459013448
810.0,412.36546446200504
820.0,412.1196614518628
830.0,411.88065358371443
840.0,411.6481721781817
850.0,411.421962246556
860.0,411.20178164128737
870.0,410.9874002684002
880.0,410.77859935666436
890.0,410.5751707788323
900.0,410.3769164206949
910.0,410.18364759409025
920.0,409.99518449035986
930.0,409.8113556710544
940.0,409.63199759297987
950.0,409.4569541649295
960.0,409.2860763336769
970.0,409.1192216970161
980.0,408.9562541418219
990.0,408.79704350527516
1000.0,408.64146525755274
